R	53.347	-6.25425	P654	07 Feb 2025	P654\n08:15 - Maynooth to Dublin Pearse (2 mins late)\nDeparted Tara Street next stop Dublin Pearse	Southbound
R	53.3531	-6.24591	D808	07 Feb 2025	D808\n09:27 - Dublin Connolly to Drogheda (-56 mins late)\nDeparted Dublin Connolly next stop Howth Junction	Northbound
R	53.3531	-6.24591	E212	07 Feb 2025	E212\n08:41 - Howth to Bray (2 mins late)\nDeparted Dublin Connolly next stop Tara Street	Southbound
R	53.3531	-6.24591	E910	07 Feb 2025	E910\n08:25 - Bray to Howth (0 mins late)\nArrived Dublin Connolly next stop Clontarf Road	Northbound
R	53.3629	-6.22753	E213	07 Feb 2025	E213\n08:50 - Malahide to Bray (0 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3632	-6.25908	A902	07 Feb 2025	A902\n09:05 - Dublin Connolly to Sligo (1 mins late)\nArrived Drumcondra next stop Broombridge	Northbound
R	53.3632	-6.25908	P405	07 Feb 2025	P405\n08:34 - Hazelhatch to Grand Canal Dock (6 mins late)\nArrived Drumcondra next stop Dublin Connolly	Northbound
R	53.3704	-6.50598	D907	07 Feb 2025	D907\n08:23 - Dublin Pearse to Maynooth (4 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.373	-6.20442	A103	07 Feb 2025	A103\n07:00 - Belfast to Dublin Connolly (-1 mins late)\nDeparted Killester next stop Dublin Connolly	Southbound
R	53.373	-6.20442	E909	07 Feb 2025	E909\n08:15 - Bray to Howth (2 mins late)\nArrived Killester next stop Harmonstown	Northbound
R	53.3752	-6.31388	D304	07 Feb 2025	D304\n09:00 - Docklands to M3 Parkway (1 mins late)\nArrived Pelletstown next stop Clonsilla	Northbound
R	53.3752	-6.31388	P745	07 Feb 2025	P745\n08:40 - Maynooth to Dublin Connolly (0 mins late)\nDeparted Pelletstown next stop Broombridge	Southbound
R	53.378	-6.58993	P769	07 Feb 2025	P769\n09:10 - Maynooth to Dublin Connolly (1 mins late)\nDeparted Maynooth next stop Leixlip (Louisa Bridge)	Southbound
R	53.3786	-6.19131	E807	07 Feb 2025	E807\n07:54 - Greystones to Malahide (7 mins late)\nArrived Harmonstown next stop Raheny	Northbound
R	53.387	-6.16163	E107	07 Feb 2025	E107\n09:00 - Howth to Greystones (0 mins late)\nDeparted Kilbarrack next stop Raheny	Southbound
R	53.3917	-6.13678	E908	07 Feb 2025	E908\n07:55 - Bray to Howth (11 mins late)\nArrived Bayside next stop Sutton	Northbound
R	53.4032	-6.14839	D806	07 Feb 2025	D806\n08:52 - Dublin Connolly to Drogheda (6 mins late)\nArrived Clongriffin next stop Malahide	Northbound
R	53.4157	-6.83395	A903	07 Feb 2025	A903\n06:40 - Sligo to Dublin Connolly (17 mins late)\nDeparted Enfield next stop Kilcock	Southbound
R	53.4175	-6.46483	P306	07 Feb 2025	P306\n09:08 - M3 Parkway to Docklands (0 mins late)\nArrived Dunboyne next stop Hansfield	Southbound
R	53.4273	-7.93683	A803	07 Feb 2025	A803\n07:15 - Westport to Dublin Heuston (1 mins late)\nDeparted Athlone next stop Clara	To Dublin Heuston
R	53.4273	-7.93683	A812	07 Feb 2025	A812\n07:35 - Dublin Heuston to Westport (-1 mins late)\nArrived Athlone next stop Roscommon	To Westport
R	53.4509	-6.15649	P607	07 Feb 2025	P607\n08:24 - Drogheda to Dublin Pearse (3 mins late)\nDeparted Malahide next stop Portmarnock	Southbound
R	53.5201	-6.1439	A106	07 Feb 2025	A106\n08:50 - Dublin Connolly to Belfast (-1 mins late)\nDeparted Rush and Lusk next stop Drogheda	Northbound
